Path Way,File Name,Camera,Datetime,Width,Height,Depth,Defect Type,xmin,ymin,xmax,ymax,Score
D:\data\vision_6830\image_data\inner_bore\nok\211202\flag\inner_bore_211202T102837.xml,inner_bore_211202T102837.xml,inner_bore,2021-12-02  02:08:37,1000,7990,1,Crack,297,4016,417,4037,0.66036242246628
D:\data\vision_6830\image_data\inner_bore\nok\211202\flag\inner_bore_211202T104133.xml,inner_bore_211202T104133.xml,inner_bore,2021-12-02  04:13:03,1000,7990,1,Crack,501,6824,540,6913,0.93778961896896
D:\data\vision_6830\image_data\inner_bore\nok\211202\flag\inner_bore_211202T105845.xml,inner_bore_211202T105845.xml,inner_bore,2021-12-02  05:08:45,1000,7990,1,Crack-minor,205,3044,273,3075,0.93841964006424
D:\data\vision_6830\image_data\inner_bore\nok\211202\flag\inner_bore_211202T113118.xml,inner_bore_211202T113118.xml,inner_bore,2021-12-02  13:11:08,1000,7990,1,Crack,536,1798,575,1911,0.92817795276642
D:\data\vision_6830\image_data\inner_bore\nok\211202\flag\inner_bore_211202T113133.xml,inner_bore_211202T113133.xml,inner_bore,2021-12-02  13:13:03,1000,7990,1,Crack,641,7172,688,7350,0.93192505836487
D:\data\vision_6830\image_data\inner_bore\nok\211202\flag\inner_bore_211202T114629.xml,inner_bore_211202T114629.xml,inner_bore,2021-12-02  14:06:29,1000,7990,1,Crack-outoffocus,389,3813,483,3832,0.93665152788162
D:\data\vision_6830\image_data\inner_bore\nok\211202\flag\inner_bore_211202T114629.xml,inner_bore_211202T114629.xml,inner_bore,2021-12-02  14:06:29,1000,7990,1,Crack-outoffocus,638,7774,726,7797,0.73608040809631
D:\data\vision_6830\image_data\inner_bore\nok\211202\flag\inner_bore_211202T133133.xml,inner_bore_211202T133133.xml,inner_bore,2021-12-02  03:31:33,1000,7990,1,Crack-minor,321,6327,387,6344,0.94114649295807
D:\data\vision_6830\image_data\inner_bore\nok\211202\flag\inner_bore_211202T133758.xml,inner_bore_211202T133758.xml,inner_bore,2021-12-02  03:37:58,1000,7990,1,Crack-outoffocus,491,2626,618,2653,0.91161000728607
D:\data\vision_6830\image_data\inner_bore\nok\211202\flag\inner_bore_211202T133846.xml,inner_bore_211202T133846.xml,inner_bore,2021-12-02  03:38:46,1000,7990,1,Crack,343,1415,413,1581,0.9183983206749
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T070246.xml,inner_bore_211202T070246.xml,inner_bore,2021-12-02  07:02:46,1000,7990,1,Crack,356,6638,385,6772,0.8093027472496
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T071428.xml,inner_bore_211202T071428.xml,inner_bore,2021-12-02  07:14:28,1000,7990,1,Crack-outoffocus,315,5848,465,5870,0.60387843847275
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T072144.xml,inner_bore_211202T072144.xml,inner_bore,2021-12-02  07:21:44,1000,7990,1,Crack-minor,316,5364,455,5386,0.6284915804863
D:\data\vision_6830\image_data\inner_bore\ok\211202\flag\inner_bore_211202T072834.xml,inner_bore_211202T072834.xml,inner_bore,2021-12-02  07:28:34,1000,7990,1,Crack-outoffocus,287,3669,371,3698,0.58626931905746
