Path Way,File Name,Width,Height,Depth,Defect Type,xmin,ymin,xmax,ymax,Score
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T130817.xml,inner_bore_211123T130817.xml,1000,7990,1,Crack,448,1453,492,1601,0.99948728084564
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T130919.xml,inner_bore_211123T130919.xml,1000,7990,1,Crack,413,5395,458,5605,0.99656230211258
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T132257.xml,inner_bore_211123T132257.xml,1000,7990,1,Crack,536,6971,619,7017,0.99873811006546
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T132406.xml,inner_bore_211123T132406.xml,1000,7990,1,Crack,484,5213,527,5338,0.99948227405548
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T133004.xml,inner_bore_211123T133004.xml,1000,7990,1,Crack,494,2459,574,2633,0.99925822019577
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T133615.xml,inner_bore_211123T133615.xml,1000,7990,1,Crack,375,2118,409,2282,0.99411928653717
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T134120.xml,inner_bore_211123T134120.xml,1000,7990,1,Crack,600,936,646,1083,0.99643635749817
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T134942.xml,inner_bore_211123T134942.xml,1000,7990,1,Crack,395,6011,484,6043,0.98248428106308
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T134942.xml,inner_bore_211123T134942.xml,1000,7990,1,Crack-outoffocus,454,4813,553,4834,0.9611536860466
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T135214.xml,inner_bore_211123T135214.xml,1000,7990,1,Crack,602,1242,639,1347,0.98958277702332
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T223256.xml,inner_bore_211123T223256.xml,1000,7990,1,Crack,370,6410,409,6569,0.99987125396729
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T223450.xml,inner_bore_211123T223450.xml,1000,7990,1,Crack,465,2374,501,2445,0.96540170907974
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T223852.xml,inner_bore_211123T223852.xml,1000,7990,1,Crack-minor,214,5406,272,5429,0.97764319181442
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T223852.xml,inner_bore_211123T223852.xml,1000,7990,1,Crack-outoffocus,391,2787,496,2816,0.89329069852829
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T224823.xml,inner_bore_211123T224823.xml,1000,7990,1,Crack,357,7158,473,7180,0.98375350236893
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T225318.xml,inner_bore_211123T225318.xml,1000,7990,1,Crack,542,1256,582,1382,0.99992549419403
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T225324.xml,inner_bore_211123T225324.xml,1000,7990,1,Crack,595,2347,639,2467,0.99994230270386
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T225324.xml,inner_bore_211123T225324.xml,1000,7990,1,Crack-outoffocus,411,5074,491,5109,0.99234229326248
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T225507.xml,inner_bore_211123T225507.xml,1000,7990,1,Crack,500,5420,531,5558,0.99886000156403
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T225916.xml,inner_bore_211123T225916.xml,1000,7990,1,Crack,571,6316,606,6431,0.99507600069046
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T230826.xml,inner_bore_211123T230826.xml,1000,7990,1,Crack-minor,219,5823,275,5840,0.99964368343353
D:\data\vision_6830\image_data\inner_bore\nok\211123\inner_bore_211123T230826.xml,inner_bore_211123T230826.xml,1000,7990,1,Crack,210,3317,270,3348,0.99771982431412
